position,name,height,foot,current league,current club,24/25 minutes,24/25 goals,24/25 games,24/25 assists,23/24 minutes,23/24 goals,23/24 games,23/24 assists,22/23 minutes,22/23 goals,22/23 games,22/23 assists,21/22 minutes,21/22 goals,21/22 games,21/22 assists,20/21 minutes,20/21 goals,20/21 games,20/21 assists,19/20 minutes,19/20 goals,19/20 games,19/20 assists,18/19 minutes,18/19 goals,18/19 games,18/19 assists,17/18 minutes,17/18 goals,17/18 games,17/18 assists,16/17 minutes,16/17 goals,16/17 games,16/17 assists
Forward,Robert Lewandowski,185.0,right,LaLiga,FC Barcelona,1572.0,22.0,19.0,2.0,3800.0,26.0,49.0,9.0,3954.0,33.0,46.0,8.0,4006.0,50.0,46.0,7.0,3389.0,48.0,40.0,9.0,4134.0,55.0,47.0,10.0,4180.0,40.0,47.0,13.0,3787.0,41.0,48.0,5.0,4021.0,43.0,47.0,9.0
Forward,Kylian Mbappé,178.0,right,LaLiga,Real Madrid,1502.0,9.0,18.0,2.0,3869.0,44.0,48.0,10.0,3564.0,41.0,43.0,10.0,3912.0,39.0,46.0,26.0,3720.0,42.0,47.0,11.0,2718.0,30.0,37.0,18.0,3521.0,39.0,43.0,17.0,3554.0,21.0,46.0,16.0,2788.0,28.0,46.0,14.0
Forward,Harry Kane,188.0,right,Bundesliga,Bayern Munich,1455.0,20.0,18.0,9.0,3934.0,44.0,45.0,12.0,4302.0,32.0,49.0,5.0,4250.0,27.0,50.0,10.0,3982.0,33.0,49.0,17.0,3040.0,24.0,34.0,2.0,3342.0,24.0,40.0,6.0,3953.0,41.0,48.0,5.0,3154.0,35.0,38.0,7.0
Right Winger,Mohamed Salah,175.0,left,Premier League,Liverpool FC,1529.0,12.0,19.0,10.0,3132.0,25.0,44.0,14.0,4301.0,30.0,51.0,16.0,4014.0,31.0,51.0,15.0,4178.0,31.0,51.0,6.0,4091.0,23.0,48.0,13.0,4342.0,27.0,52.0,10.0,4119.0,44.0,52.0,15.0,3186.0,19.0,41.0,15.0
Forward,Erling Haaland,195.0,left,Premier League,Manchester City,1582.0,17.0,18.0,0.0,3745.0,38.0,45.0,5.0,4131.0,52.0,53.0,9.0,2388.0,29.0,30.0,8.0,3540.0,41.0,41.0,12.0,2754.0,44.0,40.0,10.0,556.0,5.0,10.0,1.0,1625.0,12.0,26.0,4.0,644.0,4.0,20.0,1.0
Forward,Ciro Immobile,185.0,right,Süper Lig,Besiktas JK,1357.0,12.0,18.0,0.0,2359.0,11.0,43.0,1.0,2735.0,14.0,38.0,7.0,3356.0,32.0,40.0,4.0,3299.0,25.0,41.0,8.0,3685.0,39.0,44.0,8.0,3694.0,19.0,46.0,12.0,3725.0,41.0,47.0,9.0,3517.0,26.0,41.0,5.0
Forward,Romelu Lukaku,191.0,left,Serie A,SSC Napoli,815.0,5.0,12.0,5.0,3908.0,21.0,47.0,4.0,1988.0,14.0,37.0,7.0,2750.0,15.0,44.0,1.0,3565.0,30.0,44.0,10.0,4189.0,34.0,51.0,6.0,3001.0,15.0,45.0,3.0,4072.0,27.0,51.0,9.0,3447.0,26.0,39.0,7.0
Forward,Edin Dzeko,193.0,right,Süper Lig,Fenerbahce,1300.0,12.0,21.0,3.0,3288.0,25.0,46.0,10.0,2893.0,14.0,52.0,5.0,3372.0,17.0,49.0,10.0,2425.0,13.0,38.0,5.0,3539.0,19.0,43.0,14.0,3170.0,14.0,40.0,10.0,4112.0,24.0,49.0,7.0,4041.0,39.0,51.0,14.0
Forward,Mauro Icardi,181.0,right,Süper Lig,Galatasaray,1072.0,6.0,14.0,2.0,3911.0,32.0,47.0,12.0,2004.0,23.0,26.0,8.0,1310.0,5.0,30.0,0.0,1732.0,13.0,28.0,6.0,2185.0,20.0,34.0,4.0,2974.0,17.0,37.0,5.0,3130.0,29.0,36.0,1.0,3427.0,26.0,41.0,8.0
Forward,Alexandre Lacazette,175.0,right,Ligue 1,Olympique Lyon,1062.0,5.0,15.0,2.0,2719.0,22.0,35.0,5.0,3198.0,31.0,39.0,6.0,2103.0,6.0,36.0,8.0,2450.0,17.0,43.0,3.0,2581.0,12.0,39.0,6.0,3330.0,19.0,49.0,11.0,2758.0,17.0,39.0,5.0,3477.0,37.0,45.0,5.0
Forward,Antoine Griezmann,176.0,left,LaLiga,Atlético de Madrid,1418.0,6.0,20.0,6.0,3917.0,24.0,48.0,8.0,3625.0,16.0,48.0,19.0,2524.0,8.0,39.0,7.0,3904.0,20.0,51.0,13.0,3501.0,15.0,48.0,4.0,4068.0,21.0,48.0,10.0,3872.0,29.0,49.0,15.0,4559.0,26.0,53.0,12.0
Forward,Paul Onuachu,201.0,right,Premier League,Southampton FC,134.0,0.0,7.0,0.0,1803.0,17.0,26.0,4.0,1861.0,17.0,33.0,0.0,3206.0,23.0,43.0,3.0,3271.0,35.0,41.0,5.0,1839.0,10.0,28.0,2.0,3110.0,22.0,40.0,6.0,2180.0,17.0,32.0,8.0,3479.0,23.0,45.0,4.0
Forward,Youssoufa Moukoko,179.0,left,Ligue 1,OGC Nice,483.0,2.0,11.0,2.0,758.0,6.0,27.0,0.0,1600.0,7.0,35.0,6.0,484.0,3.0,24.0,2.0,804.0,16.0,19.0,1.0,2445.0,38.0,28.0,10.0,2415.0,50.0,28.0,9.0,2376.0,40.0,28.0,7.0,,,,
Forward,Lautaro Martínez,174.0,right,Serie A,Inter Milan,1120.0,6.0,16.0,4.0,3461.0,27.0,44.0,7.0,4118.0,28.0,57.0,11.0,3293.0,25.0,49.0,4.0,3256.0,19.0,48.0,11.0,3595.0,21.0,49.0,8.0,1763.0,9.0,35.0,2.0,2393.0,18.0,28.0,5.0,1470.0,9.0,28.0,1.0
Forward,Mehdi Taremi,185.0,right,Serie A,Inter Milan,632.0,1.0,15.0,3.0,2355.0,11.0,35.0,7.0,3823.0,31.0,51.0,14.0,3597.0,26.0,48.0,17.0,3022.0,23.0,48.0,18.0,2871.0,21.0,37.0,5.0,2177.0,10.0,25.0,5.0,1773.0,14.0,24.0,8.0,3159.0,25.0,39.0,6.0
Left Winger,Heung-min Son,184.0,both,Premier League,Tottenham Hotspur,951.0,4.0,13.0,4.0,2967.0,17.0,36.0,10.0,3788.0,14.0,47.0,6.0,3526.0,24.0,45.0,8.0,3997.0,22.0,51.0,17.0,3176.0,18.0,41.0,11.0,3292.0,20.0,48.0,9.0,3380.0,18.0,53.0,11.0,2976.0,21.0,47.0,7.0
Forward,Viktor Gyökeres,187.0,right,Liga Portugal,Sporting CP,1640.0,24.0,20.0,4.0,4169.0,43.0,50.0,15.0,4377.0,22.0,50.0,12.0,3722.0,18.0,47.0,5.0,1363.0,5.0,34.0,1.0,1825.0,7.0,28.0,4.0,2113.0,7.0,27.0,5.0,744.0,7.0,10.0,0.0,3093.0,24.0,40.0,10.0
Attacking Midfield,Bruno Fernandes,179.0,right,Premier League,Manchester United,1580.0,4.0,19.0,7.0,4285.0,15.0,48.0,13.0,5165.0,14.0,59.0,14.0,3861.0,10.0,46.0,14.0,4585.0,28.0,58.0,17.0,4307.0,27.0,50.0,22.0,4688.0,32.0,53.0,18.0,4708.0,16.0,56.0,18.0,1845.0,5.0,35.0,3.0
Forward,Luuk de Jong,188.0,right,Eredivisie,PSV Eindhoven,1220.0,8.0,17.0,4.0,3952.0,38.0,48.0,18.0,2877.0,18.0,39.0,10.0,937.0,7.0,29.0,1.0,2140.0,9.0,48.0,1.0,2705.0,10.0,46.0,4.0,3891.0,32.0,43.0,10.0,2494.0,13.0,33.0,12.0,3388.0,9.0,39.0,8.0
Forward,Jamie Vardy,179.0,right,Premier League,Leicester City,926.0,4.0,11.0,1.0,1926.0,20.0,37.0,2.0,2206.0,6.0,42.0,5.0,2238.0,17.0,33.0,2.0,3421.0,17.0,42.0,9.0,3428.0,23.0,40.0,7.0,2884.0,18.0,36.0,4.0,3543.0,23.0,42.0,1.0,3822.0,16.0,48.0,6.0
